check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-05T11:33:58.145433+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-05T11:33:58.145460+05:30
tls_expired,fail,TLS certificate has expired,,2026-09-05T11:33:58.176444+05:30
tls_browser_error,fail,Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1000),https://www.portmin.gov.lk/,2026-09-05T11:34:01.238207+05:30
http,pass,Probe 2: HTTP 200 at http://www.portmin.gov.lk/,http://www.portmin.gov.lk/,2026-09-05T11:34:01.238233+05:30
tls_browser_error,fail,Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1000),https://www.portmin.gov.lk/,2026-09-05T11:34:01.238241+05:30
http,pass,Probe 4: HTTP 200 at http://www.portmin.gov.lk/,http://www.portmin.gov.lk/,2026-09-05T11:34:01.238252+05:30
email_in_site_domain,error,No published email address to compare,,
email_domain_has_mx,error,No published email address to check,,
