check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-05T10:44:12.971553+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-05T10:44:12.971581+05:30
tls,pass,TLS certificate valid,,2026-09-05T10:44:14.631011+05:30
http,error,Probe 1: The read operation timed out,https://dea.gov.lk/,2026-09-05T10:46:23.360321+05:30
http,error,Probe 2: The read operation timed out,http://dea.gov.lk/,2026-09-05T10:46:23.360360+05:30
http,error,Probe 3: The read operation timed out,https://dea.gov.lk/,2026-09-05T10:46:23.360369+05:30
http,error,Probe 4: The read operation timed out,http://dea.gov.lk/,2026-09-05T10:46:23.360375+05:30
