check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-05T11:47:06.265205+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-05T11:47:06.265248+05:30
tls_expired,fail,TLS certificate has expired,,2026-09-05T11:47:06.393414+05:30
tls_browser_error,fail,Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1000),https://www.energymin.gov.lk/,2026-09-05T11:47:09.476550+05:30
tls_browser_error,fail,Probe 2: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1000),http://www.energymin.gov.lk/,2026-09-05T11:47:09.476657+05:30
tls_browser_error,fail,Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1000),https://www.energymin.gov.lk/,2026-09-05T11:47:09.476681+05:30
tls_browser_error,fail,Probe 4: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1000),http://www.energymin.gov.lk/,2026-09-05T11:47:09.476696+05:30
