check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-05T10:31:16.742498+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-05T10:31:16.742517+05:30
tls,pass,TLS certificate valid,,2026-09-05T10:31:17.819458+05:30
http,fail,Probe 1: HTTP 404 at https://aib.gov.lk/aib,https://aib.gov.lk/aib/,2026-09-05T10:31:27.207886+05:30
http,fail,Probe 2: HTTP 404 at http://aib.gov.lk/aib/,http://aib.gov.lk/aib/,2026-09-05T10:31:27.207916+05:30
http,fail,Probe 3: HTTP 404 at https://aib.gov.lk/aib,https://aib.gov.lk/aib/,2026-09-05T10:31:27.207923+05:30
http,fail,Probe 4: HTTP 404 at http://aib.gov.lk/aib/,http://aib.gov.lk/aib/,2026-09-05T10:31:27.207928+05:30
persistent_http_failure,fail,"Every repeated HTTP probe failed: [404, 404, 404, 404]",,2026-09-05T10:31:27.208693+05:30
